Simulation Number, 1  0  0, 0  0  1, 1  0  1,AspectRatio_ 0  0  1/ 1  0  1,AspectRatio_ 1  0  1/ 1  0  0
308.0,142.3,153.7,142.1,1.0816326530612244,0.9985945186226282
309.0,142.0,153.7,141.4,1.086987270155587,0.995774647887324
310.0,146.1,156.2,143.0,1.0923076923076922,0.9787816563997263
311.0,143.8,156.2,145.5,1.0735395189003436,1.0118219749652293
312.0,142.7,156.2,146.2,1.0683994528043776,1.0245269796776455
313.0,144.9,159.5,147.0,1.0850340136054422,1.0144927536231885
314.0,143.1,157.9,148.7,1.0618695359784802,1.0391334730957371
315.0,146.1,160.4,148.6,1.0794078061911172,1.0171115674195756
316.0,147.5,160.4,148.7,1.078681909885676,1.0081355932203389
317.0,149.0,165.4,148.7,1.1123066577000673,0.997986577181208
318.0,145.3,162.9,148.7,1.0954942837928716,1.0233998623537508
319.0,150.5,167.1,148.7,1.1237390719569604,0.9880398671096344
320.0,150.5,166.3,150.3,1.1064537591483699,0.998671096345515
321.0,149.4,166.3,150.3,1.1064537591483699,1.0060240963855422
322.0,152.3,168.8,150.2,1.1238348868175767,0.9862114248194351
323.0,156.1,173.0,150.2,1.151797603195739,0.9622037155669442
324.0,150.9,170.5,150.2,1.1351531291611185,0.9953611663353213
325.0,150.8,172.1,151.9,1.1329822251481236,1.0072944297082227
326.0,156.9,173.0,150.3,1.1510312707917498,0.9579349904397706
327.0,156.5,175.5,151.1,1.1614824619457313,0.9654952076677316
328.0,158.0,177.2,150.2,1.1797603195739015,0.950632911392405
329.0,155.7,146.9,143.9,1.0208478109798471,0.9242132305716122
330.0,144.6,146.1,142.1,1.0281491907107672,0.9827109266943291
331.0,147.5,146.9,140.5,1.0455516014234876,0.9525423728813559
332.0,146.4,146.1,143.8,1.0159944367176632,0.98224043715847
333.0,146.4,144.4,138.9,1.0395968322534197,0.9487704918032787
334.0,144.2,141.9,137.4,1.0327510917030567,0.9528432732316229
